id,created,modified,object_pk,comment,is_removed,is_censored,content_type_id,creator_id,comment_categories,last_discussed,is_moderator_marked,is_blocked,is_reviewed,project_id
235,"2024-04-21 14:37:47.950201",,32,"Ich bin für aktive Sterbehilfe, weil es endlich ne Lösung braucht, die dem Einzelnen ein Recht auf selbstbestimmtes Sterben einräumt.",0,0,124,20,"",,0,0,0,15
236,"2024-04-21 14:38:13.509233",,33,"Ich bin für aktive Sterbehilfe, weil es endlich ne Lösung braucht, die dem Einzelnen ein Recht auf selbstbestimmtes Sterben einräumt.",0,0,124,20,"",,0,0,0,15
237,"2024-04-21 14:38:40.665262",,34,"Ich bin für aktive Sterbehilfe, weil es endlich ne Lösung braucht, die dem Einzelnen ein Recht auf selbstbestimmtes Sterben einräumt.",0,0,125,20,"","2024-05-05 08:25:37.452985",0,0,0,15
238,"2024-04-21 14:39:07.706996",,35,"Ich bin für aktive Sterbehilfe, weil es endlich ne Lösung braucht, die dem Einzelnen ein Recht auf selbstbestimmtes Sterben einräumt.",0,0,125,20,"","2024-05-08 07:36:37.606465",0,0,0,15
239,"2024-04-21 14:44:11.988273",,32,"Für Angehörige ist ein Suizid, der vermeidbar gewesen wäre, immer ein Schock. So, wie es im Moment läuft, überlässt der Staat diese Kontrolle den Sterbehilfe-Vereinen, und das finde ich nicht gut. Deshalb unterstütze ich das Vorhaben, aktive Sterbehilfe gesetzlich zu erlauben.",0,0,124,21,"","2024-05-02 11:16:58.109462",0,0,0,15
240,"2024-04-21 14:44:57.736505",,33,"Für Angehörige ist ein Suizid, der vermeidbar gewesen wäre, immer ein Schock. So, wie es im Moment läuft, überlässt der Staat diese Kontrolle den Sterbehilfe-Vereinen, und das finde ich nicht gut. Deshalb unterstütze ich das Vorhaben, aktive Sterbehilfe gesetzlich zu erlauben.",0,0,124,21,"",,0,0,0,15
241,"2024-04-21 14:45:22.778295",,34,"Für Angehörige ist ein Suizid, der vermeidbar gewesen wäre, immer ein Schock. So, wie es im Moment läuft, überlässt der Staat diese Kontrolle den Sterbehilfe-Vereinen, und das finde ich nicht gut. Deshalb unterstütze ich das Vorhaben, aktive Sterbehilfe gesetzlich zu erlauben.",0,0,125,21,"",,0,0,0,15
242,"2024-04-21 14:45:50.402611",,35,"Für Angehörige ist ein Suizid, der vermeidbar gewesen wäre, immer ein Schock. So, wie es im Moment läuft, überlässt der Staat diese Kontrolle den Sterbehilfe-Vereinen, und das finde ich nicht gut. Deshalb unterstütze ich das Vorhaben, aktive Sterbehilfe gesetzlich zu erlauben.",0,0,125,21,"","2024-05-04 08:52:20.790532",0,0,0,15
243,"2024-04-21 14:46:55.607837",,32,"Wir brauchen keine gesetzliche Neuregelung. Jeder Schwerstkranke kann sich auch heute schon selbst für den Tod entscheiden, er darf ja Nahrung verweigern. Es geht also nicht um das freiwillige Sterben, denn das war schon immer möglich.",0,0,124,22,"","2024-05-04 06:19:55.858488",0,0,0,15
244,"2024-04-21 14:47:33.367755",,33,"Wir brauchen keine gesetzliche Neuregelung. Jeder Schwerstkranke kann sich auch heute schon selbst für den Tod entscheiden, er darf ja Nahrung verweigern. Es geht also nicht um das freiwillige Sterben, denn das war schon immer möglich.",0,0,124,22,"","2024-05-03 12:51:24.845648",0,0,0,15
